asset;date;open;high;low;close;business;volume
WDOFUT;18/12/2020;5325,28;5343,03;5296,04;5327,89;1,393989981E11;2737305
WDOFUT;17/12/2020;5284,03;5311,70;5262,10;5281,42;1,453898933E11;2871336
WDOFUT;16/12/2020;5287,16;5370,71;5285,08;5308,05;1,665266885E11;3258669
WDOFUT;15/12/2020;5319,54;5351,91;5299,70;5309,62;1,521654212E11;2983949
WDOFUT;14/12/2020;5262,10;5358,18;5232,34;5344,08;1,794748769E11;3536346
WDOFUT;11/12/2020;5278,81;5314,32;5252,18;5295,00;1,559211637E11;3080117
WDOFUT;10/12/2020;5338,33;5360,26;5238,08;5250,09;2,000185019E11;3938305
WDOFUT;09/12/2020;5326,32;5428,14;5312,23;5401,51;1,843203966E11;3589548
WDOFUT;08/12/2020;5348,25;5367,05;5287,16;5346,69;1,845312262E11;3616591
WDOFUT;07/12/2020;5398,90;5398,90;5281,42;5325,28;2,018884807E11;3956282
WDOFUT;04/12/2020;5376,97;5414,04;5343,03;5387,41;1,682620925E11;3264802
WDOFUT;03/12/2020;5453,20;5463,12;5348,78;5381,67;1,902792113E11;3684898
WDOFUT;02/12/2020;5457,38;5488,19;5437,02;5451,12;1,690524925E11;3229917
WDOFUT;01/12/2020;5552,41;5566,51;5433,89;5439,11;1,957300741E11;3712255
WDOFUT;30/11/2020;5535,70;5637,00;5509,07;5571,21;1,660676479E11;3110485
WDOFUT;27/11/2020;5562,87;5614,00;5551,39;5580,61;1,299832001E11;2431112
WDOFUT;26/11/2020;5578,00;5591,56;5526,34;5569,13;1,104509684E11;2073682
WDOFUT;25/11/2020;5626,52;5633,30;5535,74;5553,47;1,669931891E11;3127106
WDOFUT;24/11/2020;5654,69;5665,13;5604,61;5608,26;1,695477151E11;3142575
WDOFUT;23/11/2020;5588,95;5688,61;5572,26;5678,69;2,147803505E11;3974729
WDOFUT;20/11/2020;5520,08;5632,26;5519,04;5615,56;1,599378787E11;2985691
WDOFUT;19/11/2020;5617,13;5620,26;5531,04;5538,87;1,801387511E11;3378190
WDOFUT;18/11/2020;5564,95;5608,78;5506,52;5598,35;2,024018948E11;3808505
WDOFUT;17/11/2020;5626,52;5661,48;5556,61;5567,56;2,120466408E11;3944045
WDOFUT;16/11/2020;5667,22;5697,48;5600,43;5656,78;1,986490296E11;3665591
WDOFUT;13/11/2020;5692,78;5770,00;5687,56;5699,04;1,694974021E11;3089161
WDOFUT;12/11/2020;5634,87;5732,96;5590,00;5700,61;1,971002597E11;3634432
WDOFUT;11/11/2020;5647,91;5698,52;5611,91;5630,69;2,031067063E11;3750638
WDOFUT;10/11/2020;5624,43;5659,39;5571,21;5654,17;2,411758219E11;4482619
WDOFUT;09/11/2020;5513,30;5665,65;5455,39;5624,43;2,934678405E11;5511945
